age_of_child,child_gender,reporter_role,sentiment_score,text_length,risk_word_count,hours_per_day_on_social_media,device_type,complaint_text,                                    risk_ratio,labeled_risk
12,Female,Mother,0.066666667,33,1,4,tablet,"As a mother, I have observed that my 12-year-old daughter refuses to leave her room and has lost weight, spending nearly 4 hours per dayon social platforms. which is impacting behavior and routine.",0.029411765,Medium
17,Female,Guardian,-0.016666667,37,0,5,smartphone,I am concerned because they cancel family activities to be online and avoid offline friends; daily social media time roughly 5 hours per day. i am worried about the long-term effects. and it is affecting daily life.,0,Medium
15,Male,Mother,0.016666667,22,1,5,tablet,My 15-year-old uses social media about 5 hours per day(s) after school and seems to manage studies fine. and it seems unhealthy.,0.043478261,Medium
13,Female,Mother,-0.064285714,40,1,6,smartphone,"Over the past few months, chats with relatives and uses social media responsibly; average daily use around 6 hours per day. they pretend not to be online but we found them streaming at night. which is becoming a serious concern.",0.024390244,High
18,Female,Mother,0.033333333,27,1,4,smartphone,"I am worried that follows hobby pages and maintains a balanced routine, using social media about 4 hours per dayeach day. and I feel intervention is needed.",0.035714286,Medium
14,Male,Guardian,-0.078409091,39,5,8,laptop,"Over the past few months, the child has become secretive, has new friends only online, and avoids family time using devices about 8 hours per day. i am worried about the long-term effects. and I feel intervention is needed.",0.125,High
16,Female,Guardian,-0.375,37,2,5,tablet,"As a parent, I have observed that he becomes very angry and cries for hours when we take the phone away; he's spending roughly 5 hours per day on apps. and this worries me as a parent.",0.052631579,Medium
13,Female,Father,0.158333333,26,0,2,smartphone,"My daughter, daily social media usage is around 2 hours per day, mostly in the early evening. Her sleep schedule and study habits are well maintained",0,Low
18,Female,Mother,-0.3,31,4,3,smartphone,"Lately I have noticed that my child hides their phone, deletes messages, and withdraws; screen time seems to be around 6-3 hours per dayevery day. and I feel intervention is needed.",0.125,Medium
16,Male,Father,-0.0125,27,2,8,smartphone,"I have noticed that as a counselor, i have observed my 16-year-old son online until 3 or 4 am; their grades dropped significantly. and it seems unhealthy.",0.071428571,High
15,Female,Mother,-1,48,9,12,laptop,"It has become clear that as a parent, i have observed my 15-year-old son online until 3 or 4 am; their grades dropped significantly. recently their teacher informed me about this. which is becoming a serious concern. Situation is escalating with isolation from family and responsibilities. ",0.1875,High
11,Female,Mother,-0.041666667,30,3,8,smartphone,It has become clear that my 11-year-old skips school or is frequently absent because of meeting people from social media. usage around 8 hours per day. and it seems unhealthy.,0.096774194,High
15,Male,Mother,0.154166667,28,1,8,laptop,I am worried that has a daily two-hour limit and respects it most of the time; uses around 8 hours per day. which is becoming a serious concern.,0.034482759,High
14,Female,Guardian,0.066666667,28,1,4,laptop,"It has become clear that follows hobby pages and maintains a balanced routine, using social media about 4 hours per dayeach day. and I feel intervention is needed.",0.034482759,Medium
10,Female,Guardian,-0.183333333,37,1,9,smartphone,"As a parent, I have observed that my 10-year-old uses social media about 9 hours per day(s) after school . they pretend not to be online but we found them streaming at night. and it seems unhealthy.",0.026315789,High
17,Female,Father,0.116666667,39,1,3,smartphone,It has become clear that we as a family noticed that my child hides their phone; screen time seems to be around 3 hours per dayevery day. this behavior started a few months ago. which is becoming a  concern.,0.025,Medium
15,Male,Guardian,1,43,2,2,tablet,It has become clear that chats with relatives and uses social media responsibly; average daily use around 2 hours per day. the child hides their screen time. which is becoming a serious concern. Child is now responding well to screen-time limits. ,0.046511628,Low
18,Female,Mother,-0.24,34,2,6,smartphone,"Over the past few months, he becomes very angry and cries for hours when we take the phone away; he's spending roughly 5-6 hours per day on apps. and it is affecting daily life.",0.057142857,High
12,Male,Mother,-0.066666667,27,0,1,smartphone,"My son uses social media for approximately 1 hours per day, mainly to stay in touch with relatives. He shows no frustration when devices are taken away.",0,Low
14,Female,Father,0.033333333,25,1,1,laptop,"As a parent, I have observed that mood swings happen but they are not tied to social media; screen time about 1 hours per day. ",0.038461538,Low
12,Male,Guardian,0.190476191,23,0,1,tablet,"My son???????s social media use is limited to 1 hours per day, mostly for school group discussions. His behavior remains calm and focused.",0,Low
16,Male,Father,0.05,40,1,4,smartphone,Lately I have noticed that we as a family noticed that my 16-year-old uses social media about 4 hours per day(s) after school and seems to manage studies fine. it has become a concern. and I feel intervention is needed.,0.024390244,Medium
15,Female,Mother,0.1,22,0,1,laptop,"The child spends about 1 hours per day on social platforms, mainly for leisure after completing schoolwork. Usage is balanced and controlled.",0,Low
13,Male,Guardian,-0.3,35,2,4,smartphone,"Over the past few months, he becomes very angry and cries for hours when we take the phone away; he's spending roughly 3-4 hours per day on apps. i am worried about the long-term effects. ",0.055555556,Medium
14,Male,Father,-0.175,29,1,2,smartphone,"Over the past few months, plays online with friends but stops for chores and family time; usually 2 hours per day. Manage studies and balanced daily routine as well",0.033333333,Low
12,Female,Guardian,0.129166667,21,0,2,laptop,It has become clear that watches short videos before bed but wakes up fine; daily use about 2 hours per day. ,0,Low
13,Male,Mother,0.033333333,31,1,2,smartphone,"As a parent, I have observed that mood swings happen but they are not tied to social media; screen time 2 hours per day. and this worries me as a parent.",0.03125,Low
18,Male,Mother,0.033333333,26,1,5,tablet,It has become clear that watches short videos on you tube before bed; daily use about 5 hours per day. and I feel intervention is needed.,0.037037037,Medium
14,Male,Guardian,-0.35,35,1,8,tablet,Lately I have noticed that takes the phone to school and uses it in classes; i estimate 8 hours per day including school hours. i am worried about the long-term effects. and it seems unhealthy.,0.027777778,High
16,Male,Guardian,-0.040909091,36,6,7,smartphone,"It has become clear that the child has become secretive, has new friends only online, and avoids family time using devices about 7 hours per day. the child hides their screen time. and it seems unhealthy.",0.162162162,High
18,Female,Mother,-0.15,40,4,7,smartphone,Lately I have noticed that he got into arguments and panic attacks when we tried to limit phone time; online use close to 7 hours per day. recently their teacher informed me about this. and I feel intervention is needed.,0.097560976,High
17,Male,Father,-1,51,8,11,smartphone,I am concerned because my parent reports that their 17-year-old son spends about 11 hours per day on social media and has stopped doing homework. this behavior started a few months ago. and this worries me as a parent. Situation is escalating with compulsive checking and loss of control. ,0.156862745,High
13,Male,Guardian,-0.091666667,38,2,5,laptop,"Lately I have noticed that my 13-year-old daughter refuses to leave her room and has lost weight, spending nearly 5 hours per dayon social platforms. this behavior started a few months ago. and I feel intervention is needed.",0.051282051,Medium
11,Female,Father,0.302777778,27,1,8,smartphone,My son spends more than 8 hours per day on social media and becomes aggressive when the phone is taken away. His school performance has dropped significantly,0.035714286,High
14,Male,Mother,0.411111111,25,0,2,tablet,My son uses social media close to 2 hours per day for play games or watching videos while maintaining good study habits and healthy sleep,0,Low
16,Female,Mother,0.077777778,18,1,8,tablet,she spends nearly 8 hours per day on social platforms and avoids family interaction. Homework is frequently incomplete.,0.052631579,High
16,Male,Guardian,-1,50,9,12,smartphone,"As a parent, I have observed that my counselor reports that their 16-year-old daughter spends about 12 hours per day on social media and has stopped doing homework. it has become a concern. which is impacting behavior and routine. Situation is escalating with isolation from family and responsibilities. ",0.18,High
15,Male,Father,-0.091666667,37,1,7,tablet,Lately I have noticed that they cancel family activities to be online and avoid offline friends; daily social media time roughly 7 hours per day. the child hides their screen time. which is impacting behavior and routine.,0.026315789,High
15,Female,Mother,-0.283333333,33,2,8,smartphone,I am worried that posts and takes part in dangerous online challenges and then got reprimanded at school; they use social media about 8 hours per day. and I feel intervention is needed.,0.058823529,High
14,Male,Father,0.080555556,30,0,4,smartphone,I am worried that chats with relatives and uses social media responsibly; average daily use around 4 hours per day. more frequently than before and it is affecting daily life.,0,Medium
17,Male,Guardian,-0.055555556,32,2,5,laptop,Lately I have noticed that my 17-year-old skips school or is frequently absent because of meeting people from social media. usage around 5 hours per day. which is impacting behavior and routine.,0.060606061,Medium
18,Female,Father,0.058333333,30,4,3,tablet,"I am concerned because my child hides their phone, deletes messages, and withdraws; screen time seems to be around 2-3 hours per dayevery day. which is becoming a serious concern.",0.129032258,Medium
15,Male,Guardian,1,41,0,3,smartphone,I am concerned because rarely eats or sleeps because of continuous social apps and gaming; daily use about 3 hours per day.more frequently than before and it is affecting daily life. Child is now showing better balance with guidance. ,0,Low
10,Female,Father,-0.143333333,29,0,4,smartphone,"Over the past few months, watches short videos before bed  wakes up lately. i think social media usage about 4 hours per day. which is impacting behavior and routine.",0,Medium
14,Male,Guardian,-0.116666667,30,1,6,smartphone,Lately I have noticed that checks social media during study period;keep bad attendance to school. overall social media usage is 6 hours per day. which is becoming a serious concern.,0.032258065,High
11,Female,Guardian,-0.133333333,26,0,4,laptop,"Lately I have noticed that play online games with friends, using social media about 4 hours per dayeach day. and this worries me as a parent.",0,Medium
10,Male,Guardian,0.0625,31,2,6,smartphone,It has become clear that using social apps to meet strangers and lying their age behavior started after being online for 6 hours per day/day. which is becoming a serious concern.,0.0625,High
17,Male,Guardian,0.177777778,17,0,1,laptop,I am worried that streams occasionally yet keeps good attendance; typically around 1 hours per dayof use.,0,Low
12,Male,Father,0.0625,27,2,4,laptop,"I am concerned because my 12-year-old daughter refuses to leave her room , spending nearly 4 hours per dayon social platforms. which is becoming a serious concern.",0.071428571,Medium
15,Female,Father,0.133333333,23,0,1,smartphone,I am worried that streams occasionally yet keeps good attendance; typically around 1 hours per dayof use. recently their teacher informed me this. ,0,Low
13,Male,Father,-0.375,33,2,8,smartphone,I am concerned because he becomes very angry and cries for hours when we take the phone away; he's spending roughly 8 hours per day on apps. which is impacting behavior and routine.,0.058823529,High
18,Male,Guardian,-0.142708333,34,2,5,tablet,"As a parent, I have observed that get little bit angry when taken his phone away; screen time about 5 hours per day. it has become a concern. which is becoming a serious concern.",0.057142857,Medium
10,Male,Guardian,0.016666667,27,0,3,smartphone,I am concerned because my 10-year-old uses social media 3 hours per day(s) after school .i am worried the long-term effects. and it is affecting daily life.,0,Medium
12,Male,Guardian,0.016666667,22,2,7,smartphone,My son???????s daily social media usage is around 7 hours per day. He shows anxiety and mood swings when devices are removed,0.086956522,High
13,Female,Guardian,0.011111111,30,1,7,laptop,Lately I have noticed that rarely eats or sleeps because of continuous social apps and gaming; i think it's about 7 hours per day. and I feel intervention is needed.,0.032258065,High
13,Male,Father,-0.225,37,4,9,tablet,"Over the past few months, we as a family noticed that my child hides their phone, deletes messages, and withdraws; screen time seems to be around 9 hours per dayevery day. and I feel intervention is needed.",0.105263158,High
13,Male,Guardian,-0.041666667,26,0,2,smartphone,I am worried that checks social media during short breaks but focuses on studies; overall 2 hours per day. this behavior started a few months ago. ,0,Low
18,Male,Father,-0.025,31,0,2,smartphone,It has become clear that she watches a few videos for entertainment but stops when we ask; daily use about 2 hours per day. recently their teacher informed me about this.,0,Low
10,Female,Father,0.144444444,30,1,6,smartphone,It has become clear that rarely eats or sleeps because of continuous social apps and gaming; i think it's about 6 hours per day. and I feel intervention is needed.,0.032258065,High
11,Male,Guardian,-0.036666667,27,0,2,laptop,It has become clear that sometimes stays up late but recovers the next day; average use about 2 hours per day. Not a serious cocern for now,0,Low
18,Male,Mother,-0.075,25,1,1,smartphone,"Lately I have noticed that active in sports and uses social media minimally, typically about 1 hours per day. which is becoming a serious concern.",0.038461538,Low
15,Female,Guardian,0.011111111,31,1,5,laptop,I am concerned because stays up all night messaging strangers using social media app; daily screen time around 5 hours per day. i am worried about it is affecting daily life.,0.03125,Medium
11,Male,Father,0.266666667,33,0,2,laptop,"My son uses social media for around 2 hours per day, mostly in the evening. he listens when reminded to stop and follows our rules. His  routine and sleep are still well managed.",0,Low
10,Male,Father,0.011111111,29,1,1,smartphone,"Lately I have noticed that uses social apps to chat with classmates, but rarely misses sleep. i'd say around 1 hours per day. and I feel intervention is needed.",0.033333333,Low
16,Female,Guardian,0.25,40,0,8,smartphone,"As a parent, I have observed that has a daily two-hour limit and respects it most of the time; uses around 8 hours per day. we have tried setting limits but it doesn't help. which is impacting behavior and routine.",0,High
15,Male,Guardian,0.033333333,22,1,2,tablet,I am concerned because mood swings happen but they are not tied to social media; screen time about 2 hours per day. ,0.043478261,Low
14,Male,Mother,-0.1375,21,0,1,smartphone,I am worried that open about screen time and follows rules set by parents; daily average approximately 1 hours per day. ,0,Low
16,Female,Father,-0.083333333,26,1,5,smartphone,"Over the past few months, borrowed money for subscriptions and cannot stop usage continues for 5 hours per dayevery day. which is becoming a serious concern.",0.037037037,Medium
16,Male,Guardian,-0.2,28,4,4,laptop,I am concerned because started spending money on in-app purchases and ignoring household limits  approximately 4 hours per dayof daily use. this behavior started a few months ago.,0.137931034,Medium
16,Male,Guardian,0,33,0,2,tablet,My son spends about 2 hours per day on social media after finishing his homework. He mainly watches short videos and chats with friends. We have not noticed any negative effects so far.,0,Low
15,Female,Father,-0.208333333,33,3,2,laptop,Lately I have noticed that he becomes very angry and cries for hours when we take the phone away; he's spending 2 hours per day on apps. which is becoming a serious concern.,0.088235294,Low
11,Male,Father,0.011111111,19,0,2,laptop,I am worried that checks social media during short breaks but focuses on studies; overall 2 hours per day. ,0,Low
16,Female,Mother,0.016666667,26,1,4,tablet,I am concerned because complains of boredom and uses social media to pass time; only around 4 hours per day. and I feel intervention is needed.,0.037037037,Medium
12,Female,Guardian,0.6,20,0,1,tablet,"My daughter spends about 1 hours per day, mostly interacting with friends. She maintains good study habits and sleep routine",0,Low
12,Female,Guardian,-0.045833333,32,1,2,smartphone,I am worried that mood swings happen but she is not tied to social media; screen time about 2 hours per day. Manage studies well.i didn't notice any concern other than that.,0.03030303,Low
17,Male,Guardian,-0.177777778,41,3,6,laptop,I am worried that he becomes very angry and cries for hours when we take the phone away; he's spending 6 hours per day on apps. we have tried setting limits but it doesn't help. which is becoming a serious concern.,0.071428571,High
18,Male,Father,-0.15,29,0,4,smartphone,I am concerned because sometimes stays up late but recovers the next day; average use about 4 hours per day. we have tried setting limits but it doesn't help.,0,Medium
17,Female,Father,0,29,2,6,smartphone,I am concerned because shows withdrawal and aggression when challenged screen time; spends 6 hours per dayonline. the child hides their screen time. which is impacting behavior and routine.,0.066666667,High
15,Male,Mother,0.159090909,24,0,1,laptop,My son spends around 1 hours per day browsing educational content. He prefers playing outside once screen time is over. His behavior remains positive.,0,Low
17,Male,Father,0.053333333,23,0,4,smartphone,"My son uses social media for roughly 4 hours per day, mostly in the evenings. Occasional late-night usage affects his morning routine slightly",0,Medium
14,Female,Mother,-0.122222222,34,1,5,tablet,"As a parent, I have observed that using social apps to meet strangers, behavior started after being online for 5 hours per day/day. recently their teacher informed me about this. and it seems unhealthy.",0.028571429,Medium
12,Female,Guardian,0,36,3,9,tablet,"I am concerned because we as a family noticed that my child hides their phone, deletes messages, and withdraws; screen time seems to be around 9 hours per dayevery day. and it is affecting daily life.",0.081081081,High
16,Male,Guardian,-0.016666667,38,0,4,smartphone,It has become clear that uses social media to coordinate group study sessions and is polite online; estimated 4 hours per day. Sometimes missed school homeworks.this behavior started a few months ago. and it is affecting daily life.,0,Medium
11,Male,Father,-0.056666667,24,0,4,smartphone,"My son's daily social media usage is about 4 hours per day, sometimes extending past study time. Sleep is slightly delayed on busy days.",0,Medium
10,Male,Mother,0.068181818,32,4,4,smartphone,"I am concerned because the child has become secretive, has new friends only online, and avoids family time  using devices about 4 hours per day. i am worried about the long-term effects.",0.121212121,Medium
13,Female,Mother,-0.25,36,1,3,laptop,I am worried that plays online with friends but stops for chores and family time; usually  3 hours per day. we have tried setting limits but it doesn't help. and this worries me as a parent.,0.027027027,Medium
15,Female,Guardian,-0.216666667,34,2,7,smartphone,It has become clear that he becomes very angry and cries for hours when we take the phone away; he's spending roughly  7 hours per day on apps. which is impacting behavior and routine.,0.057142857,High
17,Male,Guardian,0.017857143,42,0,5,tablet,"Over the past few months, my child has been playing online with friends for about 5 hours per day.  this extensive usage is significantly affecting his daily routine, sleep, and overall well-being. I am very concerned as a guardian of the child",0,Medium
15,Male,Guardian,-0.142727273,30,5,5,tablet,"Over the past few months, the child has become secretive, has new friends only online, and avoids family time  using devices about 5 hours per day. and it seems unhealthy.",0.161290323,Medium
13,Male,Mother,-0.079166667,37,2,5,laptop,"Over the past few months, we as a family noticed that my 13-year-old daughter refuses to leave her room and has lost weight, spending nearly 5 hours per dayon social platforms. and I feel intervention is needed.",0.052631579,Medium
10,Male,Mother,0.033333333,34,1,7,laptop,"As a parent, I have observed that my parent reports that their 10-year-old son spends about 7 hours per day on social media and has stopped doing homework. which is impacting behavior and routine.",0.028571429,High
14,Female,Mother,-0.158333333,32,1,3,tablet,I am concerned because open about screen time and follows rules set by parents; daily average approximately 3 hours per day. recently their teacher informed me about this. and it seems unhealthy.,0.03030303,Medium
13,Male,Mother,-0.1375,27,0,1,tablet,"As a parent, I have observed that open about screen time and follows rules set by parents;doing study home works. daily average approximately 1 hours per day. ",0,Low
16,Male,Guardian,-0.083333333,30,0,6,smartphone,"Over the past few months, they cancel family activities to be online and avoid offline friends; daily social media time 6 hours per day. and it is affecting daily life.",0,High
12,Female,Father,0.05,37,2,4,laptop,"I am concerned because my 12-year-old daughter refuses to leave her room , spending nearly 4 hours per dayon social platforms. ",0.052631579,Medium
12,Female,Guardian,-0.225,32,3,8,smartphone,"Over the past few months, my child hides their phone, deletes messages, and withdraws; screen time seems to be around 8 hours per dayevery day. and this worries me as a parent.",0.090909091,High
17,Female,Father,-0.063333333,33,0,5,smartphone,I am worried that chats with relatives and uses social media responsibly; average daily use around 5 hours per day. this behavior started a few months ago. and it is affecting daily life.,0,Medium
15,Female,Guardian,0.066666667,22,0,2,laptop,"The child uses social media for about 2 hours per day, mainly for relaxation. No behavioral or emotional issues have been observed",0,Low
18,Male,Mother,-0.063333333,32,2,8,smartphone,"Over the past few months, my 18-year-old skips school or is frequently absent because of meeting people from social media. usage around 8 hours per day. and it is affecting daily life.",0.060606061,High
15,Male,Mother,-0.0375,33,2,6,tablet,"Lately I have noticed that using social apps to meet strangers and lying about their age , behavior started after being online for 6 hours per day/day. which is becoming a serious concern.",0.058823529,High
17,Male,Guardian,0.066666667,32,2,3,tablet,I am worried that my 17-year-old skips school or is frequently absent because of meeting people from social media. usage around 3 hours per day. and this worries me as a parent.,0.060606061,Medium
10,Female,Father,0.225,21,0,2,smartphone,I am worried that my 10-year-old uses social media 2 hours per day(s) after school and seems to manage studies fine. ,0,Low
18,Male,Father,0.133333333,26,0,2,smartphone,It has become clear that uses apps mainly for tutorials and study material; about 2 hours per dayeach day. and this worries me as a parent.,0,Low
10,Female,Father,0.033333333,34,2,4,smartphone,"As a parent, I have observed that she lies her screen time and sneaks out to use social apps every evening; i'd estimate 4 hours per day. and this worries me as a parent.",0.057142857,Medium
17,Male,Guardian,-1,39,6,9,laptop,Lately I have noticed that started spending money on in-app purchases and ignoring household limits approximately 9 hours per dayof daily use. which is impacting behavior and routine. Situation is escalating with daily conflicts and emotional distress. ,0.153846154,High
13,Female,Mother,0,27,1,8,smartphone,"As a parent, I have observed that shows withdrawal and aggression when challenged screen time; spends 8 hours per dayonline. and this worries me as a parent.",0.035714286,High
11,Male,Guardian,-0.116666667,37,2,7,tablet,"Over the past few months, has lost interest in hobbies and isolates themselves, glued to the phone for nearly 7 hours per dayeach day. the child hides their screen time. and this worries me as a parent.",0.052631579,High
18,Female,Father,-0.066666667,21,0,2,tablet,"My daughter uses social media for approximately 2 hours per day, mainly for school-related discussions. She shows no signs of dependency",0,Low
12,Female,Father,0.058333333,32,2,5,laptop,It has become clear that my 12-year-old skips school or is frequently absent because of meeting people from social media. usage around 5 hours per day. and it is affecting daily life.,0.060606061,Medium
14,Male,Guardian,0.1,37,0,7,laptop,It has become clear that borrowed money for subscriptions and cannot stop  usage continues for about 7 hours per dayevery day. we have tried setting limits but it doesn't help. and this worries me as a parent.,0,High
15,Male,Mother,-0.155555556,37,1,4,tablet,Lately I have noticed that my 15-year-old sometimes skips school because of meeting people from social media. usage around 4 hours per day. this behavior started a few months ago. and this worries me as a parent.,0.026315789,Medium
15,Male,Father,0.033333333,27,0,2,tablet,My son uses social media for 2 hours per day after school. He manages his time well and completes his tasks. There are no concerns from teachers.,0,Low
14,Female,Mother,0.375,32,0,7,smartphone,"As a parent, I have observed that as a parent, i have observed my 14-year-old son online until 3 or 4 am; their grades dropped significantly. which is impacting behavior and routine.",0,High
16,Female,Guardian,-0.041666667,29,2,4,laptop,"It has become clear that my 16-year-old daughter refuses to leave her room and has lost weight, spending nearly 4 hours per dayon social platforms. and it seems unhealthy.",0.066666667,Medium
10,Male,Mother,-0.1,46,2,6,smartphone,"Over the past few months, he becomes very angry and cries for hours when we take the phone away; he's spending roughly 6 hours per day on apps. i am worried about the long-term effects. more frequently than before and this worries me as a parent.",0.042553191,High
11,Male,Father,0.166666667,19,0,2,smartphone,"My daughter's daily usage is around 2 hours per day, focused on educational content. She willingly stops when asked",0,Low
16,Male,Guardian,0.033333333,32,1,4,laptop,I am concerned because using social apps to meet strangers and lying about their age  behavior started after being online for 4 hours per day/day. which is impacting behavior and routine.,0.03030303,Medium
10,Female,Father,0.077777778,32,3,4,smartphone,It has become clear that my 10-year-old skips school or is frequently absent because of meeting people from social media. usage around 4 hours per day. and I feel intervention is needed.,0.090909091,Medium
17,Female,Mother,-0.15,29,2,9,tablet,"Over the past few months, stays up all night messaging strangers and is depressed; daily screen time around 9 hours per day. and this worries me as a parent.",0.066666667,High
10,Female,Mother,0.225,26,1,2,tablet,"My son spends about 2 hours per day on social media. He balances it well with outdoor play and family time,also seems to manage studies fine",0.037037037,Low
18,Female,Guardian,0.211111111,23,0,8,smartphone,"The child under my care uses social media for nearly 8 hours per day, mostly gaming and scrolling. Sleep patterns are severely disturbed",0,High
15,Female,Father,-1,37,7,10,smartphone,I am worried that borrowed money for subscriptions and cannot stop usage continues for about 10 hours per dayevery day. and I feel intervention is needed. Situation is escalating with sleep disruption and academic decline.,0.189189189,High
11,Female,Father,-0.1125,26,0,4,smartphone,I am worried that sometimes stays up late but recovers the next day; average use about 4 hours per day. and it is affecting daily life.,0,Medium
12,Male,Father,0.155555556,38,1,7,laptop,My son is using social media for close to 7 hours per day and has shown signs of anxiety and irritability. he reacts strongly when the phone is removed. We fear this dependence is affecting his overall well-being.,0.025641026,High
15,Female,Guardian,0.078787879,28,2,3,smartphone,"It has become clear that the child has become secretive, has new friends only online, using devices about 3 hours per day. which is impacting behavior and routine.",0.068965517,Medium
15,Female,Father,-0.141666667,25,0,3,tablet,"Lately I have noticed that active in sports and uses social media minimally, typically about 3 hours per day. which is impacting behavior and routine.",0,Medium
17,Female,Mother,0.145833333,26,0,3,tablet,"My daughter uses social media for around 3 hours per day. She sometimes ignores chores while online. Although she completes them later, this is becoming frequent.",0,Medium
14,Male,Guardian,-0.108333333,23,1,8,laptop,My son spends around 8 hours per day on social media and refuses to follow time limits. He becomes anxious without his phone.,0.041666667,High
18,Male,Mother,-0.029166667,39,0,4,laptop,I am concerned because chats with relatives and uses social media responsibly; average daily use around 4 hours per day. they pretend not to be online but we found them streaming at night. and it is affecting daily life.,0,Medium
11,Female,Mother,0,36,3,5,tablet,I am worried that we as a family noticed that my child's  screen time seems to be around 5 hours per dayevery day. which is impacting behavior and routine.,0.081081081,Medium
16,Female,Mother,-0.086666667,32,3,5,tablet,"Over the past few months, shows withdrawal and aggression when challenged about screen time; spends roughly 5  hours per dayonline. ",0.090909091,Medium
12,Female,Father,0.411111111,19,0,2,smartphone,My daughter uses social media close to 2 hours per day while maintaining good study habits and healthy sleep,0,Low
15,Female,Father,-0.116666667,37,1,4,laptop,"Over the past few months, has lost interest in hobbies and isolates themselves, glued to the phone for nearly 4 hours per dayeach day. i am worried the long-term effects. and this worries me as a parent.",0.026315789,Medium
12,Male,Mother,-0.216666667,47,1,6,smartphone,Lately I have noticed that posts and takes part in dangerous online challenges and then got reprimanded at school; they use social media about 6 hours per day. they pretend not to be online but we found them streaming at night. and it is affecting daily life.,0.020833333,High
13,Male,Guardian,-0.066666667,26,1,4,smartphone,Lately I have noticed that checks social media during short breaks but focuses on studies; overall 4 hours per day. and I feel intervention is needed.,0.037037037,Medium
13,Female,Father,-0.133333333,22,0,2,laptop,Lately I have noticed that uses social media to coordinate group study sessions and is polite online; estimated 2 hours per day. ,0,Low
12,Male,Father,-1,45,9,10,smartphone,It has become clear that posts and takes part in dangerous online challenges and then got reprimanded at school; they use social media 10 hours per day. and this worries me as a parent. Situation is escalating with isolation from family and responsibilities. ,0.2,High
